tag,prog,img,gpu_pct,blk_size,cpu_threads,ite,all_resptime,cpu_branch,cpu_brmiss,cpu_cachemiss,cpu_cachetot,cpu_clock,cpu_inst,cpu_llcmiss,cpu_llctot,cpu_totcyc,gpu_actcyc,gpu_branch,gpu_cta,gpu_divbr,gpu_hit,gpu_inst,gpu_miss,gpu_totcyc
sequ,convolution,1,0,0,1,1,23.90,15392714953,1720346,17036435,26415654,22679.885930,173849267512,0,0,73945625635,NA,NA,NA,NA,NA,NA,NA,NA
sequ,convolution,1,0,0,1,2,23.09,15397617269,1453474,17100325,25661480,22600.659781,173813022554,0,0,73658087005,NA,NA,NA,NA,NA,NA,NA,NA
sequ,convolution,1,0,0,1,3,23.11,15392608673,1442647,17026812,26209402,22709.568433,173812048789,0,0,74042309323,NA,NA,NA,NA,NA,NA,NA,NA
gpuo,convolution,1,1,8,0,1,4.45,2450422056,656566,19036365,27581935,3231.752918,13429775079,0,0,10303684145,1644178871,99532800,1555202,0,538309724,1580083200,59245556,1644183882
gpuo,convolution,1,1,8,0,2,3.63,2462559608,739780,19057013,27025014,3241.213240,13443856325,0,0,10358072060,1642771374,99532800,1555210,0,538618236,1580083200,58608768,1642776370
gpuo,convolution,1,1,8,0,3,4.48,2442088997,702174,18552894,27068867,3251.193937,13362998508,0,0,10374639481,1644202615,99532800,1555204,0,538181406,1580083200,59319928,1644207404
gpuo,convolution,1,1,16,0,1,3.23,1923938427,711166,19083988,27954307,2819.810386,11371673735,0,0,8914524238,1072685270,99532800,390022,0,225280918,1579927680,226766942,1072691698
gpuo,convolution,1,1,16,0,2,3.26,1909350245,630274,19145190,28758959,2818.091645,11389364674,0,0,8954628370,1072999719,99532800,390068,0,225124120,1579927680,226972080,1073004968
gpuo,convolution,1,1,16,0,3,3.33,1908143638,650702,18983605,27752587,2828.373613,11313233993,0,0,8949969961,1072806904,99532800,389966,0,225132192,1579927680,226843162,1072811508
gpuo,convolution,1,1,32,0,1,3.22,1906388515,693153,19253270,27353764,2795.195526,11278272376,0,0,8923160169,1047169621,99532800,97200,0,230020018,1579849920,142864886,1061657686
gpuo,convolution,1,1,32,0,2,3.22,1894527617,758526,19633803,27169791,2809.157045,11240919447,0,0,8883589172,1047168474,99532800,97200,0,229989752,1579849920,142896132,1061659810
gpuo,convolution,1,1,32,0,3,3.34,1897394003,749619,18507364,27207588,2811.949661,11244274183,0,0,8890537286,1047104643,99532800,97200,0,230161960,1579849920,142723884,1061600032
cpuo,convolution,1,0,0,2,1,12.97,15390657606,1491242,17101266,26308111,23283.178317,173864177362,0,0,73774650749,NA,NA,NA,NA,NA,NA,NA,NA
cpuo,convolution,1,0,0,2,2,13.16,15400414481,1664475,17103398,26406750,23273.893335,173898862796,0,0,73832677479,NA,NA,NA,NA,NA,NA,NA,NA
